Provider.ID,Hospital.Name,Address,City,State,ZIP.Code,County.Name,Phone.Number,Location,Number.of.Completed.Surveys,Survey.Response.Rate.Percent,Measure.Start.Date,Measure.End.Date,H_CLEAN_HSP_A_P,H_CLEAN_HSP_SN_P,H_CLEAN_HSP_U_P,H_COMP_1_A_P,H_COMP_1_SN_P,H_COMP_1_U_P,H_COMP_2_A_P,H_COMP_2_SN_P,H_COMP_2_U_P,H_COMP_3_A_P,H_COMP_3_SN_P,H_COMP_3_U_P,H_COMP_5_A_P,H_COMP_5_SN_P,H_COMP_5_U_P,H_COMP_6_N_P,H_COMP_6_Y_P,H_COMP_7_A,H_COMP_7_D_SD,H_COMP_7_SA,H_HSP_RATING_0_6,H_HSP_RATING_7_8,H_HSP_RATING_9_10,H_QUIET_HSP_A_P,H_QUIET_HSP_SN_P,H_QUIET_HSP_U_P,H_RECMND_DN,H_RECMND_DY,H_RECMND_PY,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,H_CLEAN_STAR_RATING,H_COMP_1_STAR_RATING,H_COMP_2_STAR_RATING,H_COMP_3_STAR_RATING,H_COMP_5_STAR_RATING,H_COMP_6_STAR_RATING,H_COMP_7_STAR_RATING,H_HSP_RATING_STAR_RATING,H_QUIET_STAR_RATING,H_RECMND_STAR_RATING,H_STAR_RATING,RCMND
260080,SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY,109 PLUM ST,DONIPHAN,MO,63935,RIPLEY,5739962141,"109 PLUM ST
DONIPHAN, MO
(36.620805, -90.826054)",25,15,10/1/2016,9/30/2017,58,16,26,82,2,16,90,1,9,87,0,13,83,5,12,7,93,41,3,56,2,19,79,72,6,22,0,84,16,87,91,91,85,79,87,81,88,82,88,3,3,3,3,3,3,3,3,3,3,3,YES
260095,CENTERPOINT MEDICAL CENTER,19600 EAST 39TH STREET,INDEPENDENCE,MO,64057,JACKSON,8166987000,"19600 EAST 39TH STREET
INDEPENDENCE, MO
(39.047771, -94.349313)",1129,24,10/1/2016,9/30/2017,68,9,23,78,4,18,76,5,19,69,7,24,64,18,18,12,88,41,6,53,8,23,69,62,6,32,5,68,27,86,91,90,87,79,88,82,88,85,87,3,3,3,4,3,3,3,3,3,3,3,YES
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,"2800 CLAY EDWARDS DRIVE
NORTH KANSAS CITY, MO
(39.15081, -94.551852)",3085,27,10/1/2016,9/30/2017,72,8,20,78,4,18,80,4,16,64,8,28,61,19,20,11,89,40,4,56,5,17,78,60,8,32,3,79,18,88,91,92,85,78,89,83,91,84,92,3,3,3,3,3,4,4,4,3,4,3,YES
260081,SSM HEALTH ST CLARE HOSPITAL - FENTON,1015 BOWLES,FENTON,MO,63026,JEFFERSON,6364962000,"1015 BOWLES
FENTON, MO
(38.529043, -90.473625)",504,28,10/1/2016,9/30/2017,75,7,18,83,3,14,81,3,16,63,8,29,67,18,15,12,88,38,5,57,4,14,82,72,4,24,3,83,14,89,93,93,85,80,88,83,93,89,93,3,4,4,3,3,3,4,5,4,4,4,YES
260065,MERCY HOSPITAL SPRINGFIELD,1235 E CHEROKEE,SPRINGFIELD,MO,65804,GREENE,4178202000,"1235 E CHEROKEE
SPRINGFIELD, MO
(37.177969, -93.275276)",5465,39,10/1/2016,9/30/2017,71,9,20,77,5,18,79,5,16,64,10,26,61,20,19,12,88,40,5,55,7,20,73,56,12,32,4,77,19,87,91,91,84,77,88,83,89,81,91,3,3,3,3,3,3,4,3,3,4,3,YES
260074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,MOBERLY,MO,65270,RANDOLPH,6602638400,"1515 UNION AVE
MOBERLY, MO
(39.423879, -92.414216)",219,34,10/1/2016,9/30/2017,76,6,18,79,7,14,79,5,16,62,12,26,57,22,21,11,89,43,7,50,9,22,69,63,12,25,5,64,31,90,90,91,83,75,89,80,88,83,85,3,3,3,2,2,4,3,3,3,2,3,YES
260061,NEVADA REGIONAL MEDICAL CENTER,800 S ASH ST,NEVADA,MO,64772,VERNON,4176673355,"800 S ASH ST
NEVADA, MO
(37.830534, -94.359703)",146,20,10/1/2016,9/30/2017,80,7,13,79,4,17,81,6,13,68,7,25,62,17,21,11,89,45,5,50,10,24,66,71,6,23,5,61,34,91,91,91,87,77,89,81,86,88,85,4,3,3,4,3,4,3,2,4,2,3,YES
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL",1198,34,10/1/2016,9/30/2017,70,11,19,79,5,16,85,2,13,64,12,24,69,16,15,11,89,44,5,51,8,18,74,66,7,27,5,72,23,85,91,94,83,81,89,82,89,86,88,2,3,4,2,4,4,3,3,4,3,3,YES
260070,PEMISCOT COUNTY MEMORIAL HOSPITAL,946 EAST REED,HAYTI,MO,63851,PEMISCOT,5733591372,"946 EAST REED
HAYTI, MO
(36.236855, -89.739975)",90,9,10/1/2016,9/30/2017,59,15,26,69,10,21,90,1,9,62,19,19,58,26,16,14,86,58,6,36,25,36,39,50,20,30,16,36,48,87,91,91,85,79,87,81,88,82,88,3,3,3,3,3,3,3,3,3,3,3,NO
260068,BOONE HOSPITAL CENTER,1600 E BROADWAY,COLUMBIA,MO,65201,BOONE,5738158000,"1600 E BROADWAY
COLUMBIA, MO
(38.950669, -92.317039)",1552,46,10/1/2016,9/30/2017,67,11,22,78,4,18,82,3,15,65,9,26,64,18,18,12,88,39,5,56,8,17,75,62,9,29,4,81,15,84,91,93,85,79,88,83,89,84,92,2,3,4,3,3,3,4,3,3,4,3,YES
260077,ST ANTHONY'S MEDICAL CENTER,10010 KENNERLY ROAD,SAINT LOUIS,MO,63128,SAINT LOUIS,3145251000,"10010 KENNERLY ROAD
SAINT LOUIS, MO
(38.509739, -90.37775)",1064,34,10/1/2016,9/30/2017,68,11,21,80,3,17,79,4,17,65,8,27,57,22,21,15,85,44,6,50,8,22,70,57,9,34,5,69,26,85,92,91,85,75,85,81,88,82,87,2,4,3,3,2,3,3,3,3,3,3,YES
10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,2054927008,"2030 LAY DAM ROAD
CLANTON, AL
(32.876585, -86.623511)",232,33,10/1/2016,9/30/2017,80,5,15,85,1,14,88,2,10,76,2,22,73,11,16,11,89,37,4,59,4,11,85,72,4,24,2,89,9,92,95,95,92,86,89,85,94,90,95,4,5,5,5,5,4,4,5,4,5,5,YES
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,"200 MED CENTER DRIVE
FORT PAYNE, AL",531,24,10/1/2016,9/30/2017,72,9,19,77,8,15,81,5,14,65,11,24,63,17,20,14,86,51,7,42,9,22,69,62,9,29,8,61,31,87,89,91,84,79,86,78,86,84,83,3,2,3,3,3,3,2,2,3,2,3,NO
390003,GEISINGER-BLOOMSBURG HOSPITAL,549 EAST FAIR STREET,BLOOMSBURG,PA,17815,COLUMBIA,5703872100,"549 EAST FAIR STREET
BLOOMSBURG, PA
(41.008431, -76.453193)",428,32,10/1/2016,9/30/2017,80,5,15,86,2,12,87,2,11,79,4,17,65,15,20,10,90,42,3,55,3,18,79,54,10,36,2,78,20,91,95,95,92,81,90,84,92,81,92,4,5,5,5,4,4,4,4,3,4,4,YES
381316,PEACE HARBOR MEDICAL CENTER,400 9TH STREET,FLORENCE,OR,97439,LANE,5419978412,"400 9TH STREET
FLORENCE, OR
(43.974589, -124.117464)",256,34,10/1/2016,9/30/2017,75,7,18,80,3,17,87,3,10,76,4,20,65,16,19,12,88,38,5,57,7,17,76,52,15,33,4,78,18,89,92,94,90,80,88,83,90,78,91,3,4,4,4,3,3,4,4,2,4,4,YES
260022,NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE,MO,63501,ADAIR,6607851000,"315 S OSTEOPATHY
KIRKSVILLE, MO
(40.192482, -92.590847)",521,31,10/1/2016,9/30/2017,72,6,22,79,4,17,79,5,16,75,5,20,62,17,21,12,88,41,5,54,7,21,72,65,8,27,5,67,28,88,91,91,90,78,88,82,88,85,87,3,3,3,4,3,3,3,3,3,3,3,YES
50045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,7603397100,"1415 ROSS AVENUE
EL CENTRO, CA
(32.781498, -115.56862)",494,14,10/1/2016,9/30/2017,72,8,20,71,7,22,73,8,19,59,13,28,60,21,19,16,84,37,8,55,14,25,61,52,18,30,11,60,29,87,88,88,82,76,84,81,83,77,82,3,2,2,2,2,2,3,2,2,2,2,NO
390016,UPMC JAMESON,1211 WILMINGTON AVENUE,NEW CASTLE,PA,16105,LAWRENCE,7246564100,"1211 WILMINGTON AVENUE
NEW CASTLE, PA
(41.013452, -80.351116)",426,30,10/1/2016,9/30/2017,67,12,21,72,8,20,77,6,17,52,20,28,55,24,21,13,87,50,8,42,19,32,49,45,14,41,10,46,44,84,88,90,75,73,87,77,80,76,77,2,2,3,1,2,3,2,1,1,1,2,NO
50067,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,95361,STANISLAUS,2098473011,"350 S OAK AVE
OAKDALE, CA
(37.758098, -120.860363)",160,24,10/1/2016,9/30/2017,77,7,16,76,5,19,77,6,17,71,7,22,64,20,16,12,88,43,5,52,8,19,73,50,18,32,5,72,23,90,90,90,88,77,88,82,89,77,87,3,3,3,4,3,3,3,3,2,3,3,YES
381321,GRANDE RONDE HOSPITAL,900 SUNSET DRIVE,LA GRANDE,OR,97850,UNION,5419638421,"900 SUNSET DRIVE
LA GRANDE, OR
(45.319464, -118.104828)",285,26,10/1/2016,9/30/2017,77,10,13,81,3,16,80,5,15,78,4,18,69,13,18,12,88,43,4,53,6,24,70,56,8,36,5,65,30,88,93,91,91,83,88,83,89,82,86,3,4,3,5,4,3,4,3,3,3,4,YES
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,"126 HOSPITAL AVE
OZARK, AL
(31.451855, -85.630941)",187,28,10/1/2016,9/30/2017,81,6,13,87,3,10,87,2,11,81,6,13,74,10,16,11,89,47,4,49,2,22,76,82,5,13,3,74,23,92,95,95,91,86,89,82,92,92,90,4,5,5,5,5,4,3,4,5,4,4,YES
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,"400 NORTHWOOD DR
CENTRE, AL
(34.162761, -85.65142)",132,36,10/1/2016,9/30/2017,88,0,12,81,4,15,89,3,8,73,5,22,75,10,15,12,88,46,4,50,7,19,74,80,3,17,7,74,19,96,92,95,90,85,88,82,89,92,88,5,4,5,4,4,3,3,3,5,3,4,YES
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,"2105 EAST SOUTH BOULEVARD
MONTGOMERY, AL
(32.327144, -86.276764)",917,24,10/1/2016,9/30/2017,69,12,19,78,8,14,80,7,13,63,16,21,66,18,16,15,85,44,7,49,9,19,72,68,10,22,6,72,22,85,89,90,82,79,85,80,88,86,88,2,2,3,2,3,3,3,3,4,3,3,NO
50077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,6192948111,"4077 5TH AVE
SAN DIEGO, CA
(32.751211, -117.161024)",3281,16,10/1/2016,9/30/2017,68,10,22,74,6,20,79,5,16,57,13,30,61,19,20,16,84,43,6,51,10,24,66,49,18,33,7,68,25,85,89,91,81,77,84,81,87,76,86,2,2,3,2,3,2,3,3,1,3,2,NO
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,"1725 PINE STREET
MONTGOMERY, AL
(32.366605, -86.285267)",1897,21,10/1/2016,9/30/2017,66,14,20,78,6,16,80,5,15,70,10,20,64,19,17,15,85,47,5,48,7,20,73,68,8,24,4,75,21,83,91,91,86,78,85,80,89,86,90,2,3,3,3,3,3,3,3,4,4,3,YES
10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,"2000 PEPPERELL PARKWAY
OPELIKA, AL
(32.638055, -85.404003)",1531,23,10/1/2016,9/30/2017,69,12,19,79,5,16,83,3,14,66,10,24,67,15,18,12,88,44,5,51,6,21,73,70,5,25,4,73,23,85,91,93,85,81,88,82,90,88,89,2,3,4,3,4,3,3,4,4,3,3,YES
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,"619 SOUTH 19TH STREET
BIRMINGHAM, AL
(33.533411, -86.704736)",5358,18,10/1/2016,9/30/2017,71,9,20,82,3,15,84,3,13,66,9,25,67,16,17,12,88,38,4,58,4,13,83,68,6,26,2,85,13,87,93,93,85,81,88,84,93,87,94,3,4,4,3,4,3,4,5,4,5,4,YES
10032,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,RANDOLPH,2563572111,"1032 MAIN STREET SOUTH
WEDOWEE, AL
(33.296666, -85.480028)",25,31,10/1/2016,9/30/2017,80,7,13,82,1,17,81,4,15,82,8,10,67,21,12,12,88,45,8,47,7,17,76,77,8,15,4,66,30,87,91,91,85,79,87,81,88,82,88,3,3,3,3,3,3,3,3,3,3,3,YES
390002,UPMC MCKEESPORT,1500 FIFTH AVENUE,MC KEESPORT,PA,15132,ALLEGHENY,4126642000,"1500 FIFTH AVENUE
MC KEESPORT, PA
(40.3523, -79.849218)",507,27,10/1/2016,9/30/2017,75,7,18,82,4,14,81,4,15,62,12,26,67,18,15,15,85,44,5,51,11,21,68,57,11,32,6,68,26,89,92,92,83,80,85,82,87,81,87,3,4,3,2,3,3,3,3,3,3,3,NO
381313,ST CHARLES PRINEVILLE,384 SE COMBS FLAT ROAD,PRINEVILLE,OR,97754,CROOK,5414476254,"384 SE COMBS FLAT ROAD
PRINEVILLE, OR
(44.29918, -120.826988)",114,23,10/1/2016,9/30/2017,83,4,13,85,1,14,83,4,13,79,2,19,72,13,15,13,87,38,5,57,5,19,76,66,2,32,2,78,20,92,95,93,92,85,87,84,91,88,91,4,5,4,5,4,3,4,4,4,4,4,YES
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,"805 FRIENDSHIP ROAD
TALLASSEE, AL
(32.535293, -85.911996)",220,32,10/1/2016,9/30/2017,79,10,11,80,6,14,76,11,13,71,9,20,75,11,14,14,86,58,7,35,9,26,65,73,7,20,8,62,30,89,91,87,87,85,86,76,86,89,83,3,3,2,4,4,3,2,2,4,2,3,NO
50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,"4002 VISTA WAY
OCEANSIDE, CA
(33.183783, -117.290918)",357,23,10/1/2016,9/30/2017,67,11,22,74,8,18,79,4,17,69,10,21,64,18,18,14,86,46,8,46,11,27,62,46,20,34,10,63,27,85,88,91,86,79,86,79,85,74,83,2,2,3,3,3,3,2,2,1,2,2,NO
381325,GOOD SHEPHERD MEDICAL CENTER,610 NW 11TH STREET,HERMISTON,OR,97838,UMATILLA,5416673400,"610 NW 11TH STREET
HERMISTON, OR
(45.846135, -119.31095)",204,26,10/1/2016,9/30/2017,75,7,18,79,4,17,79,4,17,78,5,17,74,9,17,9,91,47,4,49,6,21,73,61,9,30,4,65,31,89,92,91,91,87,91,81,89,83,87,3,4,3,5,5,4,3,3,3,3,4,YES
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,"1912 ALABAMA HIGHWAY 157
CULLMAN, AL
(34.198587, -86.805641)",493,22,10/1/2016,9/30/2017,75,7,18,80,4,16,82,5,13,65,10,25,66,19,15,14,86,46,7,47,11,22,67,70,9,21,7,61,32,89,92,92,84,78,86,79,86,86,84,3,4,3,3,3,3,2,2,4,2,3,NO
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,"849 SOUTH THREE NOTCH STREET
ANDALUSIA, AL
(31.297462, -86.495599)",371,27,10/1/2016,9/30/2017,70,12,18,76,9,15,82,4,14,66,12,22,62,19,19,11,89,49,7,44,12,21,67,64,6,30,8,65,27,85,88,92,83,77,89,78,85,86,84,2,2,3,2,3,4,2,2,4,2,3,NO
381317,TILLAMOOK REGIONAL MEDICAL CENTER,1000 THIRD STREET,TILLAMOOK,OR,97141,TILLAMOOK,5038424444,"1000 THIRD STREET
TILLAMOOK, OR
(45.456322, -123.854951)",258,24,10/1/2016,9/30/2017,74,8,18,80,5,15,78,5,17,72,6,22,72,11,17,11,89,44,4,52,9,19,72,56,9,35,6,65,29,88,92,90,88,85,89,82,87,82,86,3,4,3,4,4,4,3,3,3,3,4,YES
260034,BATES COUNTY MEMORIAL HOSPITAL,615 W NURSERY ST,BUTLER,MO,64730,BATES,6602007000,"615 W NURSERY ST
BUTLER, MO
(38.249611, -94.343391)",158,25,10/1/2016,9/30/2017,75,8,17,83,1,16,79,4,17,71,6,23,63,19,18,13,87,39,7,54,9,18,73,63,5,32,5,63,32,89,94,91,88,78,87,82,89,86,85,3,4,3,4,3,3,3,3,4,2,3,YES
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,"301 EAST 18TH ST
ANNISTON, AL
(33.667701, -85.825025)",458,24,10/1/2016,9/30/2017,72,10,18,74,10,16,83,5,12,59,19,22,64,22,14,16,84,43,7,50,9,19,72,73,7,20,7,68,25,87,87,92,79,77,84,80,88,88,86,3,2,3,2,3,2,3,3,4,3,3,NO
260105,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,3145778000,"3635 VISTA AVE
SAINT LOUIS, MO
(38.622459, -90.239052)",531,15,10/1/2016,9/30/2017,64,12,24,77,6,17,79,5,16,58,14,28,63,20,17,14,86,44,7,49,13,25,62,48,19,33,8,66,26,83,90,91,81,77,86,80,85,74,85,2,3,3,2,3,3,3,2,1,2,3,NO
260179,ST LUKES HOSPITAL,232 S WOODS MILL RD,CHESTERFIELD,MO,63017,SAINT LOUIS,3144341500,"232 S WOODS MILL RD
CHESTERFIELD, MO
(38.653066, -90.50592)",3174,35,10/1/2016,9/30/2017,77,6,17,82,3,15,84,3,13,63,9,28,64,18,18,11,89,37,4,59,4,13,83,65,7,28,2,86,12,90,93,94,84,78,89,84,93,86,94,3,4,4,3,3,4,4,5,4,5,4,YES
50179,EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA,95382,STANISLAUS,2096674200,"825 DELBON AVE
TURLOCK, CA
(37.510487, -120.837491)",1059,24,10/1/2016,9/30/2017,69,11,20,74,6,20,73,9,18,61,13,26,63,18,19,13,87,53,7,40,11,26,63,44,21,35,8,62,30,86,89,87,82,78,87,77,85,73,83,3,2,2,2,3,3,2,2,1,2,2,NO
260097,WESTERN MISSOURI MEDICAL CENTER,403 BURKARTH ROAD,WARRENSBURG,MO,64093,JOHNSON,6607472500,"403 BURKARTH ROAD
WARRENSBURG, MO
(38.766474, -93.723701)",251,21,10/1/2016,9/30/2017,79,7,14,78,3,19,82,3,15,70,6,24,68,14,18,14,86,40,4,56,4,18,78,67,6,27,2,74,24,90,92,93,88,82,86,83,91,86,90,3,4,4,4,4,3,4,4,4,4,4,YES
260175,GOLDEN VALLEY MEMORIAL HOSPITAL,1600 N 2ND ST,CLINTON,MO,64735,HENRY,6608855511,"1600 N 2ND ST
CLINTON, MO
(38.391389, -93.770506)",307,26,10/1/2016,9/30/2017,77,8,15,83,3,14,81,4,15,75,5,20,70,8,22,8,92,44,5,51,6,19,75,63,11,26,5,73,22,90,93,92,90,86,92,82,90,84,89,3,4,3,4,5,5,3,4,3,3,4,YES
260137,FREEMAN HEALTH SYSTEM - FREEMAN WEST,1102 WEST 32ND STREET,JOPLIN,MO,64804,JASPER,4173471111,"1102 WEST 32ND STREET
JOPLIN, MO
(37.054408, -94.526884)",1689,26,10/1/2016,9/30/2017,64,13,23,75,5,20,80,5,15,61,11,28,61,21,18,13,87,42,5,53,8,22,70,58,9,33,4,73,23,82,90,91,83,76,87,82,88,83,89,2,3,3,2,2,3,3,3,3,3,3,YES
260119,POPLAR BLUFF REGIONAL MEDICAL CENTER,3100 OAK GROVE ROAD,POPLAR BLUFF,MO,63901,BUTLER,5737857721,"3100 OAK GROVE ROAD
POPLAR BLUFF, MO
(36.788987, -90.443287)",541,25,10/1/2016,9/30/2017,67,14,19,75,9,16,77,7,16,60,14,26,61,21,18,17,83,43,8,49,12,22,66,62,9,29,9,64,27,83,88,89,81,76,83,80,85,84,84,2,2,2,2,2,2,3,2,3,2,2,NO
